0 398  1.549 -1.60022   -30412 1495.64
36600 9191  13.2696 54533.3   -1.01693e+07 207209
36700 9192  13.2696 54560.4   -1.01707e+07 207222
36800 9192  13.2696 54591.3   -1.01707e+07 207222
36900 9192  13.2696 54620.4   -1.01707e+07 207222
37000 9194  13.2696 54651.3   -1.01738e+07 207247
37100 9194  13.2696 54676.6   -1.01738e+07 207247
37200 9195  13.2696 54695.5   -1.01753e+07 207247
37300 9196  13.2696 54719.8   -1.01775e+07 207292
37400 9197  13.2696 54740.7   -1.01801e+07 207375
37500 9197  13.3916 54764.1   -1.01801e+07 207375
37600 9198  13.3916 54781.5   -1.01825e+07 207440
37700 9198  13.3916 54804.6   -1.01825e+07 207440
37800 9198  13.3916 54829.4   -1.01825e+07 207440
37900 9199  13.3916 54860.4   -1.01841e+07 207439
38000 9200  13.3916 54889.4   -1.01853e+07 207464
38100 9200  13.3916 54910.3   -1.01853e+07 207464
38200 9201  13.3916 54928.8   -1.01872e+07 207480
38300 9201  13.3916 54958   -1.01872e+07 207480
38400 9201  13.3916 54975.4   -1.01872e+07 207480
38500 9203  13.3916 54995.7   -1.01897e+07 207503
38600 9204  13.3916 55020.6   -1.01914e+07 207516
38700 9205  13.3916 55036.6   -1.01928e+07 207512
38800 9205  13.3916 55072.5   -1.01928e+07 207512
38900 9207  13.3916 55097.6   -1.01957e+07 207522
39000 9207  13.3916 55118.1   -1.01957e+07 207522
39100 9207  13.3916 55136.4   -1.01957e+07 207522
39200 9207  13.3916 55152.8   -1.01957e+07 207522
39300 9207  13.3916 55189.2   -1.01957e+07 207522
39400 9207  13.3916 55212.9   -1.01957e+07 207522
39500 9209  13.3916 55236.7   -1.01984e+07 207521
39600 9209  13.3916 55252.5   -1.01984e+07 207521
39700 9210  13.3916 55289.9   -1.02004e+07 207558
39800 9210  13.3916 55319.3   -1.02004e+07 207558
39900 9211  13.3916 55338.1   -1.02023e+07 207595
40000 9212  13.3916 55355.6   -1.02037e+07 207592
