35700 7700  9.82763 33955.6   -8.06161e+06 183088
35800 7701  9.82763 33972.2   -8.0624e+06 183105
35900 7701  9.82763 33986.4   -8.0624e+06 183105
36000 7703  9.82763 34005   -8.06486e+06 183100
36100 7705  9.82763 34026.9   -8.06959e+06 183140
36200 7706  9.82763 34047   -8.07105e+06 183139
36300 7707  9.82763 34064.2   -8.07274e+06 183151
36400 7707  9.82763 34081.3   -8.07274e+06 183151
36500 7708  9.82763 34106   -8.07479e+06 183194
36600 7709  9.82763 34131.3   -8.0767e+06 183195
36700 7710  9.82763 34151.8   -8.07867e+06 183202
36800 7711  9.82763 34166   -8.07969e+06 183223
36900 7711  9.96719 34183.9   -8.07969e+06 183223
37000 7711  9.96719 34201   -8.07969e+06 183223
37100 7712  9.96719 34218.2   -8.08065e+06 183242
37200 7712  10.0843 34234.3   -8.08065e+06 183242
37300 7712  10.0843 34252.5   -8.08065e+06 183242
37400 7712  10.0843 34267.2   -8.08065e+06 183242
37500 7712  10.0843 34284.6   -8.08065e+06 183242
37600 7712  10.0843 34306.4   -8.08065e+06 183242
37700 7712  10.0843 34322.1   -8.08065e+06 183242
37800 7713  10.0843 34335.1   -8.08238e+06 183247
37900 7715  10.0843 34353.2   -8.08505e+06 183248
38000 7716  10.0843 34369.5   -8.08564e+06 183288
38100 7717  10.0843 34387.1   -8.08826e+06 183328
38200 7717  10.0843 34404.2   -8.08826e+06 183328
38300 7717  10.0843 34424.2   -8.08826e+06 183328
38400 7717  10.0843 34439.8   -8.08826e+06 183328
38500 7717  10.0843 34451.6   -8.08826e+06 183328
38600 7719  10.0843 34466.9   -8.09188e+06 183303
38700 7720  10.1214 34486.2   -8.09317e+06 183312
38800 7721  10.1214 34505.1   -8.09496e+06 183306
38900 7723  10.1214 34521.4   -8.09934e+06 183444
39000 7724  10.1214 34542   -8.1011e+06 183437
39100 7724  10.1214 34562.6   -8.1011e+06 183437
39200 7725  10.1214 34574.8   -8.10239e+06 183426
39300 7726  10.1214 34595.1   -8.10509e+06 183488
39400 7728  10.1214 34608.8   -8.10658e+06 183554
39500 7728  10.1214 34634.9   -8.10658e+06 183554
39600 7729  10.1214 34648   -8.10783e+06 183563
39700 7729  10.1214 34668.9   -8.10783e+06 183563
39800 7729  10.1214 34685.8   -8.10783e+06 183563
39900 7731  10.1214 34702.4   -8.11055e+06 183569
40000 7731  10.1214 34720.3   -8.11055e+06 183569
